,DEPARTAMENTO,Year,ODS 1.1.1,ODS 1.2.1,ODS 1.3.1,ODS 1.4.1,ODS 2.1.1,ODS 2.2.1,ODS 2.2.2,ODS 3.1.2,ODS 3.2.1,ODS 3.2.2,ODS 3.3.1,ODS 3.3.2,ODS 3.3.3,ODS 3.3.4,ODS 3.5.2,ODS 3.6.1,ODS 3.7.1,ODS 3.7.2,ODS 3.8.1,ODS 3.a.1,ODS 3.c.1,ODS 4.1.1,ODS 4.1.2,ODS 4.1.3,ODS 4.1.4,ODS 4.2.2,ODS 4.3.1,ODS 4.5.1,ODS 4.6.1,ODS 4.a.1,ODS 4.a.2,ODS 4.a.3,ODS 4.c.1,ODS 5.2.1,ODS 5.5.2,ODS 5.5.3,ODS 5.5.4,ODS 6.1.1,ODS 6.2.1,ODS 7.1.1,ODS 7.1.2,ODS 8.1.1,ODS 8.2.1,ODS 8.5.1,ODS 8.5.2,ODS 8.6.1,ODS 8.7.1,ODS 9.2.2,ODS 10.1.1,ODS 10.2.1,ODS 10.3.1
49,COSTA URBANA,2014,1,16.3,NA,NA,24.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA
50,CUSCO,2014,2.2,21.2,22.9,68,NA,18.2,0.3,95.7,30,NA,53,47,29,4,62.6,14.4,49.7,NA,72.2,8.2,1998,NA,NA,NA,NA,12.7,27,NA,12.7,88.1,65.5,80.3,NA,17.4,NA,NA,NA,90.5,72.2,91,46.6,-0.6,-0.8,5.6,NA,12.5,51.5,7.7,0.5,27.7,28.3
51,HUANCAVELICA,2014,12.3,50.3,11.1,57.3,NA,35,0.2,91.5,37,NA,12,22,0,0,48.1,10.1,41,NA,91.8,9.7,282,NA,NA,NA,NA,15.6,21.1,NA,15.6,83.9,41,35.4,NA,19.1,NA,NA,NA,83.8,65.5,87.9,21.2,5.9,-0.4,3.5,NA,7.7,70.3,NA,-0.1,28,7.1
52,HUANUCO,2014,12.3,38.5,14.3,42.7,NA,24.8,0.9,89.5,21,NA,97,42,0,27,43.9,7.6,56.4,NA,78.2,7.9,576,NA,NA,NA,NA,13.4,16.6,NA,13.4,72.3,44.9,28,NA,7.1,NA,NA,NA,69.6,51.7,80.6,37.6,4,0.6,4.6,NA,11.8,48.4,4.7,2.4,26.8,16.7
53,ICA,2014,0.2,4.1,50.1,76.1,NA,6.9,0.6,99.5,16,NA,148,90,0,1,76.6,11.1,59,NA,61.1,16.9,1933,NA,NA,NA,NA,2.7,31.9,NA,2.7,94.3,80.6,20.8,NA,12.9,NA,NA,NA,90.4,80.4,98.5,92.7,0.7,2.9,5.8,NA,14.4,14.8,9.9,2.5,20.9,9.3
54,JUNIN,2014,2.2,21.2,22.7,62.8,NA,22.1,1,87.3,26,NA,118,52,160,3,59,15.2,49.6,NA,59.7,12.2,1649,NA,NA,NA,NA,6.6,29.9,NA,6.6,69,53.2,70.9,NA,13.2,NA,NA,NA,89.4,67.5,92.4,62.4,11.4,10.7,5.2,NA,14,33.6,8,1,26.2,20.2
55,LA LIBERTAD,2014,6.1,29.6,28.4,73.1,NA,19.9,0.3,89.9,16,NA,298,61,3,1,58.2,10.6,50.7,NA,68.2,9.7,4195,NA,NA,NA,NA,6,24.1,NA,6,73.8,62.2,27.5,NA,9,NA,NA,NA,89.5,77.5,93.8,69.6,0.2,-0.2,5.4,NA,15.8,30.7,11.8,2.2,27.9,16.3
56,LAMBAYEQUE,2014,2.2,21.2,22.4,73.5,NA,14.3,2.6,91.7,16,NA,172,55,1,1,72.5,6.8,48.6,NA,61.6,8.5,2257,NA,NA,NA,NA,6.3,25,NA,6.3,88,53.4,46,NA,9,NA,NA,NA,86.8,78.5,96.3,76.2,1.2,4.6,4.6,NA,19.8,23.4,10.1,-1.1,27.4,8.6
57,LIMA,2014,0.2,11.8,41.6,91.5,20,4.1,0.1,99,13,NA,2761,NA,NA,NA,76.2,3.7,57.1,NA,66.7,15.4,NA,NA,NA,NA,NA,2.3,31.8,NA,2.3,100,84.6,31.7,NA,12.3,NA,NA,24.5,94.9,92.6,99.7,98.5,NA,NA,8.4,4.9,18.1,6.9,14.5,0.7,17.5,21.5
58,LORETO,2014,6.1,38.5,21.4,26,NA,24.6,1,61.6,40,NA,412,119,6431,12,60,1.3,43.3,NA,79.5,16.8,896,NA,NA,NA,NA,5.3,16.3,NA,5.3,16.2,7.1,58,NA,11.9,NA,NA,NA,54.4,35.1,76.2,34.5,2.6,4.4,5.1,NA,24.1,32.2,6,3,28.9,11.5
